word,example,translation,example_translation,status,correct_count,incorrect_count,date_added,last_studied,user_email,user_name
sich ausdenken,Ich denke mir eine neue Geschichte aus.,Придумывать,Я придумываю новую историю.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
aufrufen,Die App ruft ständig meine Standortdaten auf.,"Вызывать, обращаться",Приложение постоянно запрашивает данные о моём местоположении.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
befehlen,"Der General befahl den Soldaten, vorzurücken.",Приказывать,Генерал приказал солдатам наступать.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
anwenden,Man sollte diese Salbe zweimal täglich anwenden.,Применять,Эту мазь следует применять дважды в день.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
empfangen,Sie hat die Gäste herzlich empfangen.,"Принимать, встречать",Она радушно встретила гостей.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
annehmen,"Wir nehmen an, dass das Projekt erfolgreich sein wird.","Принимать, предполагать","Мы предполагаем, что проект будет успешным.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
einfallen,Mir ist nichts mehr dazu eingefallen.,Приходить на ум,Мне больше ничего не пришло в голову по этому поводу.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
geschehen,Es ist ein Unglück geschehen.,"Происходить, случаться",Произошло несчастье.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
verzeihen,"Bitte verzeih mir, ich wollte das nicht.",Прощать,"Пожалуйста, прости меня, я не хотел этого.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
erschrecken,"Ich erschrecke, wenn jemand hinter mir steht.","Пугаться, испугаться","Я пугаюсь, когда кто-то стоит сзади.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
beschließen,Die Regierung hat ein neues Gesetz beschlossen.,"Принимать решение, постановлять",Правительство приняло новый закон.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
entscheiden,Er musste sich zwischen zwei Jobs entscheiden.,"Решать, принимать решение",Ему пришлось выбирать между двумя работами.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
die Entscheidung,Das war eine falsche Entscheidung.,Решение,Это было неправильное решение.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
bindenden,Eine mündliche Zusage ist nicht bindend.,"Обязательный, обязывающий",Устное обещание не является обязательным.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
aufgeben,Wir haben unsere Bestellung im Restaurant aufgegeben.,"Отказываться, сдаваться, заказывать",Мы сделали заказ в ресторане.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
das Ereignis,Die Hochzeit war ein sehr schönes Ereignis.,Событие,Свадьба была очень красивым событием.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
die Vereinbarung,Wir haben eine mündliche Vereinbarung getroffen.,"Соглашение, договоренность",Мы достигли устной договоренности.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
schaffen,Er schaffte die Prüfung ohne große Mühe.,"Создавать, справляться",Он сдал экзамен без особых усилий.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
betragen,Die Kosten betragen 100 Euro.,Составлять,Стоимость составляет 100 евро.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
behalten,Du kannst das Buch behalten.,"Сохранять, оставлять у себя",Ты можешь оставить книгу себе.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
ertrinken,Die kleine Katze wäre fast im Bach ertrunken.,Тонуть,Маленький котёнок чуть не утонул в ручье.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
ziehen,Er zog die Tür hinter sich zu.,Тянуть,Он закрыл дверь за собой.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
gelingen,"Es ist ihm gelungen, das schwierige Problem zu lösen.",Удаваться,Ему удалось решить сложную проблему.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
das Vergnügen,"Es ist ein Vergnügen, mit dir zu arbeiten.",Удовольствие,Работать с тобой — одно удовольствие.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
erfahre,"Er erfuhr, dass sein Freund verreist ist.","Узнавать, получать сведения","Он узнал, что его друг уехал.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
empfinden,"Ich empfinde große Freude, wenn ich Musik höre.","Ощущать, чувствовать","Я испытываю большую радость, когда слушаю музыку.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
nachgeben,Er konnte dem Druck nicht länger nachgeben.,"уступать, поддаваться",Он больше не мог поддаваться давлению.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
mitschreiben,Bitte schreiben Sie alles Wichtige mit.,записывать (следом),"Пожалуйста, запишите всё важное.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
heranbilden,Er will sich als Ingenieur heranbilden.,"формировать, обучать",Он хочет обучиться на инженера.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
messen,Wir müssen die Länge des Raumes messen.,измерять,Мы должны измерить длину комнаты.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
greifen,Sie griff nach seiner Hand.,"хватать, браться за что-то",Она схватила его за руку.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
gießen,Könntest du bitte die Blumen gießen?,"поливать, лить","Ты мог бы, пожалуйста, полить цветы?",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
sich gleichen,Die beiden Brüder gleichen sich sehr.,быть похожим,Оба брата очень похожи друг на друга.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hervorheben,Er wollte die Bedeutung dieses Punktes hervorheben.,"выделять, подчеркивать",Он хотел подчеркнуть важность этого пункта.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
herunterkommen,Das Haus ist ganz heruntergekommen.,"спускаться, приходить в упадок",Дом совсем пришёл в упадок.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinuntersehen,Er sah aus dem Fenster hinunter.,смотреть вниз,Он смотрел вниз из окна.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
halten,Kannst du mal kurz meine Tasche halten?,"держать, останавливать",Можешь подержать мою сумку?,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
fortfahren,Bitte fahren Sie mit Ihrer Arbeit fort.,продолжать,"Пожалуйста, продолжайте свою работу.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
lügen,Er hat mich angelogen.,"лгать, обманывать",Он обманул меня.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
herunterladen,Ich muss die Software herunterladen.,"скачивать, загружать",Мне нужно скачать это программное обеспечение.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
genießen,Wir sollten das Leben in vollen Zügen genießen.,наслаждаться,Нам следует наслаждаться жизнью в полной мере.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
festhalten,"Halt dich gut fest, sonst fällst du!","держаться, удерживать","Держись крепко, иначе упадёшь!",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
leihen,Kannst du mir dein Fahrrad leihen?,одалживать (у кого-то),Можешь одолжить мне свой велосипед?,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
missfallen,Die Idee missfällt mir.,"не нравиться, вызывать неудовольствие",Эта идея мне не нравится.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
nachgehen,Ich muss der Sache auf den Grund nachgehen.,"следовать, расследовать",Мне нужно разобраться в этом деле до конца.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinbekommen,"Ich hoffe, ich kann das noch hinbekommen.","справиться, получить","Надеюсь, я смогу это ещё сделать.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
freihalten,Bitte halten Sie den Parkplatz frei.,держать свободным,"Пожалуйста, держите парковку свободной.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
fressen,Die Katze frisst ihr Futter.,жрать (о животных),Кошка ест свой корм.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
heben,Er konnte den schweren Stein nicht heben.,поднимать,Он не мог поднять тяжёлый камень.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
herausfinden,"Ich muss herausfinden, wer das war.","выяснять, узнавать","Мне нужно выяснить, кто это был.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
klingen,Das klingt gut!,звучать,Звучит хорошо!,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
misslingen,Der Versuch ist leider misslungen.,не удаваться,"Попытка, к сожалению, не удалась.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinfallen,Er ist auf dem Eis hingefallen.,падать,Он упал на льду.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
gestehen,Er musste seine Schuld gestehen.,признаваться,Он должен был признать свою вину.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hereinkommen,Bitte kommen Sie herein!,входить,"Пожалуйста, входите!",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hochgehen,Die Preise sind stark hochgegangen.,"подниматься, взрываться",Цены сильно поднялись.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
mitgeben,Ich habe ihm etwas Geld für die Reise mitgegeben.,давать с собой,Я дал ему немного денег на дорогу.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
fliehen,Der Dieb konnte fliehen.,"убегать, бежать",Вор смог убежать.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinweisen,Er wies auf einen Fehler in der Rechnung hin.,указывать,Он указал на ошибку в счёте.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinbekommen,Ich werde es schon hinbekommen.,"справиться, получить",Я с этим справлюсь.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinfallen,Er ist auf der Straße hingefallen.,падать,Он упал на улице.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hervorheben,Der Architekt wollte die historische Bedeutung des Gebäudes hervorheben.,"выделять, подчеркивать",Архитектор хотел подчеркнуть историческое значение здания.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hineinrufen,Er rief in den Wald hinein.,"кричать внутрь, окликать",Он крикнул в лес.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
geschehen,Was ist geschehen?,"происходить, случаться",Что случилось?,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
gelten,Das Gesetz gilt für alle Bürger.,"действовать, быть действительным",Закон действует для всех граждан.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hereinbitten,Sie bat ihn herein.,просить войти,Она попросила его войти.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinbekommen,"Ich hoffe, ich kann das noch hinbekommen.","справиться, получить","Надеюсь, я ещё смогу это сделать.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinkommen,Wie komme ich am besten zum Bahnhof hin?,добираться,Как мне лучше всего добраться до вокзала?,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hereinbitten,Sie bat ihn herein.,просить войти,Она попросила его войти.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hineingehen,Er ging ins Haus hinein.,входить внутрь,Он вошёл в дом.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hängen,Das Bild hängt an der Wand.,висеть,Картина висит на стене.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
hinausgehen,Gehen Sie hinaus und genießen Sie die Sonne!,выходить наружу,Выходите на улицу и наслаждайтесь солнцем!,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
klingen,Seine Stimme klang müde.,звучать,Его голос звучал устало.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
mitsprechen,Jeder sollte bei der Diskussion mitsprechen dürfen.,участвовать в разговоре,Каждый должен иметь право высказаться в дискуссии.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
leien,Er hat mir sein Buch geliehen.,одалживать (кому-то),Он одолжил мне свою книгу.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
schnell,Der Zug fährt sehr schnell.,быстро,Поезд едет очень быстро.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
das Buch,Ich lese ein interessantes Buch über Geschichte.,книга,Я читаю интересную книгу по истории.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
vergessen,Ich habe meinen Schlüssel zu Hause vergessen.,забывать,Я забыл свой ключ дома.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
der Himmel,Am Abend wird der Himmel rot.,небо,Вечером небо становится красным.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
helfen,Kann ich dir helfen?,помогать,Я могу тебе помочь?,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
der Traum,Ich hatte einen seltsamen Traum heute Nacht.,сон (сновидение),Сегодня ночью мне приснился странный сон.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
die Angst,Das Kind hat Angst im Dunkeln.,"страх, боязнь",Ребенок боится темноты.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
der Freund,Mein bester Freund wohnt in Berlin.,друг,Мой лучший друг живет в Берлине.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
Слово на немецком,Пример использования на немецком,Перевод слова на русский,Перевод примера использования на русский,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
die Brücke,Die alte Brücke über den Fluss ist sehr schön.,мост,Старый мост через реку очень красивый.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
laut,Der Unterricht beginnt um halb neun.,половина,Урок начинается в половине девятого.,studying,0,0,2025-09-09T11:51:05.572Z,,Mike,Mike
